name,division,iso639_1,iso639_3,family,subfamily,g2p,train,dev,test
Afrikaans,West,af,afr,Indo-European,Germanic,epitran,1032,198,264
Amharic,South,am,amh,Afroasiatic,Semitic,epitran,3163,223,516
Arabic,Central,ar,ara,Afroasiatic,Semitic,epitran,2104,295,428
Asturian,West,-,ast,Indo-European,Romance,xpf,2511,398,946
Azerbaijani,-,az,aze,Turkic,Oghuz,epitran,2665,400,923
Belarusian,East,be,bel,Indo-European,Slavic,xpf,2433,408,967
Bulgarian,South,bg,bul,Indo-European,Slavic,xpf,2973,395,658
Bengali,East,bn,ben,Indo-European,Indo-Aryan,epitran,3006,402,920
Catalan,West,ca,cat,Indo-European,Romance,epitran,2300,404,940
Cebuano,-,-,ceb,Austronesian,Philippine,epitran,3261,225,541
Central Kurdish,West,-,ckb,Indo-European,Iranian,epitran,3040,386,922
Mandarin Chinese,-,-,cmn,Sino-Tibetan,Sinitic,epitran,3246,409,945
Czech,West,cs,ces,Indo-European,Slavic,epitran,2811,305,723
Welsh,-,cy,cym,Indo-European,Celtic,epitran,3427,447,1021
Danish,North,da,dan,Indo-European,Germanic,epitran,2465,395,930
German,West,de,deu,Indo-European,Germanic,epitran,2987,363,862
Modern Greek (1453-),-,el,ell,Indo-European,Hellenic,xpf,3215,271,650
English,West,en,eng,Indo-European,Germanic,epitran,2602,394,647
Spanish,West,es,spa,Indo-European,Romance,epitran,2796,408,908
Estonian,-,et,est,Uralic,Finnic,epitran,2501,387,893
Persian,West,fa,fas,Indo-European,Iranian,epitran,3101,369,871
Fulah,-,ff,ful,Niger-Congo,West-Atlantic,epitran,3235,273,660
Finnish,-,fi,fin,Uralic,Finnic,epitran,2704,415,918
French,West,fr,fra,Indo-European,Romance,epitran,3193,289,676
Irish,-,ga,gle,Indo-European,Celtic,epitran,2845,369,842
Galician,West,gl,glg,Indo-European,Romance,epitran,2175,395,927
Hausa,-,ha,hau,Afroasiatic,Chadic,epitran,3259,296,621
Hebrew,Central,he,heb,Afroasiatic,Semitic,epitran,3242,328,792
Hindi,Central,hi,hin,Indo-European,Indo-Aryan,epitran,2120,239,418
Croatian,South,hr,hrv,Indo-European,Slavic,epitran,3461,377,914
Hungarian,-,hu,hun,Uralic,Ugric,epitran,3095,407,905
Armenian,-,hy,hye,Indo-European,Armenian,xpf,3053,395,932
Indonesian,-,id,ind,Austronesian,Malayic,epitran,2579,350,687
Italian,South,it,ita,Indo-European,Romance,epitran,3030,391,865
Japanese,-,ja,jpn,Japonic,-,epitran,2292,266,650
Javanese,-,jv,jav,Austronesian,Javanesic,epitran,3051,295,728
Georgian,-,ka,kat,Kartvelian,-,epitran,1491,409,979
Kazakh,-,kk,kaz,Turkic,Kipchak,epitran,3200,369,856
Khmer,-,km,khm,Austroasiatic,Khmer,epitran,1675,326,771
Kannada,-,kn,kan,Dravidian,Southern,epitran,2283,368,838
Korean,-,ko,kor,Koreanic,-,epitran,2307,226,382
Kyrgyz,-,ky,kir,Turkic,Kipchak,epitran,2818,422,977
Ganda,Northeast,lg,lug,Niger-Congo,Bantu,epitran,2478,306,723
Lao,-,lo,lao,Kra-Dai,Tai,epitran,1809,191,405
Lithuanian,-,lt,lit,Indo-European,Baltic,epitran,2937,416,986
Latvian,-,lv,lav,Indo-European,Baltic,epitran,2110,356,851
Maori,-,mi,mri,Austronesian,Oceanic,epitran,3249,429,1008
Macedonian,South,mk,mkd,Indo-European,Slavic,xpf,2337,415,973
Malayalam,-,ml,mal,Dravidian,Southern,epitran,3043,418,958
Mongolian,-,mn,mon,Mongolic,-,epitran,3074,405,949
Marathi,South,mr,mar,Indo-European,Indo-Aryan,epitran,3269,443,1015
Malay,-,ms,msa,Austronesian,Malayic,epitran,2667,324,749
Maltese,Central,mt,mlt,Afroasiatic,Semitic,epitran,2895,404,926
Burmese,-,my,mya,Sino-Tibetan,Lolo-Burmese,epitran,3058,384,880
Norwegian Bokmål,North,nb,nob,Indo-European,Germanic,epitran,3167,163,357
Nepali,North,ne,nep,Indo-European,Indo-Aryan,xpf,3332,305,726
Dutch,West,nl,nld,Indo-European,Germanic,epitran,2918,171,364
Chichewa,Nyasa,ny,nya,Niger-Congo,Bantu,epitran,2694,311,761
Oromo,-,om,orm,Afroasiatic,Cushitic,epitran,1701,19,41
Odia,East,or,ori,Indo-European,Indo-Aryan,epitran,1081,392,883
Punjabi,Northwest,pa,pan,Indo-European,Indo-Aryan,epitran,1923,251,574
Polish,West,pl,pol,Indo-European,Slavic,epitran,2841,338,758
Pushto,East,ps,pus,Indo-European,Iranian,epitran,2513,217,512
Portuguese,West,pt,por,Indo-European,Romance,epitran,2793,386,919
Romanian,East,ro,ron,Indo-European,Romance,epitran,2891,387,883
Russian,East,ru,rus,Indo-European,Slavic,epitran,2562,356,775
Slovenian,South,sl,slv,Indo-European,Slavic,epitran,2512,349,834
Shona,Southern,sn,sna,Niger-Congo,Bantu,epitran,2463,393,925
Somali,-,so,som,Afroasiatic,Cushitic,epitran,3149,432,1019
Swedish,North,sv,swe,Indo-European,Germanic,epitran,2385,330,759
Swahili,Northeast,sw,swa,Niger-Congo,Bantu,epitran,3070,211,487
Tamil,-,ta,tam,Dravidian,Southern,epitran,2367,377,591
Telugu,-,te,tel,Dravidian,South-Central,xpf,2302,311,472
Tajik,West,tg,tgk,Indo-European,Iranian,epitran,2298,240,600
Thai,-,th,tha,Kra-Dai,Tai,epitran,2602,439,1021
Turkish,-,tr,tur,Turkic,Oghuz,epitran,2526,338,743
Ukrainian,East,uk,ukr,Indo-European,Slavic,epitran,2810,325,750
Urdu,Central,ur,urd,Indo-European,Indo-Aryan,epitran,2109,267,299
Uzbek,-,uz,uzb,Turkic,Karluk,epitran,2943,363,862
Vietnamese,-,vi,vie,Austroasiatic,Viet,epitran,2994,361,857
Wolof,-,wo,wol,Niger-Congo,West-Atlantic,xpf,2279,169,371
Xhosa,Southern,xh,xho,Niger-Congo,Bantu,epitran,3466,446,1041
Yoruba,-,yo,yor,Niger-Congo,Volta-Niger,epitran,2339,378,831
Yue Chinese,-,-,yue,Sino-Tibetan,Sinitic,epitran,1939,362,819
Zulu,Southern,zu,zul,Niger-Congo,Bantu,epitran,2858,354,854
